"BTID";"BLID";"collector";"trapType";"pass";"replicate";"startYear";"startMonth";"startDay";"startHour";"startMinute";"endYear";"endMonth";"endDay";"endHour";"endMinute";"startNESWPhoto_DSC";"endNESWPhoto_DSC";"canolaAdjacent";"percentCanolaBloom";"floralAdjacentNotes";"deployedNotes";"retrievalNotes";"lonTrap";"latTrap";"elevTrap";"locationType";"adjCrop";"oppCrop";"adjCropBloom";"oppCropBloom";"adjMowed";"oppMowed";"created_at";"updated_at";"startjulian";"endjulian";"midjulian";"midyear";"midmonth";"midday";"deployedhours"
"21106-3-WCC0-2016";21106;"S. Johnson";"Coloured Cups";3;"W0";2016;7;5;12;12;2016;7;13;10;34;"";"";"";"";"";"";"replaced glycol, diluted";-113.61;50.69053;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2016;7;9;190.3666
"21106-3-WBV0-2016";21106;"S. Johnson";"Blue Vane";3;"W0";2016;7;5;12;12;2016;7;13;10;34;"";"";"";"";"";"";"replaced glycol, diluted";-113.61;50.69053;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2016;7;9;190.3666
"21736-3-WCC0-2016";21736;"S. Johnson";"Coloured Cups";3;"W0";2016;7;5;11;40;2016;7;13;10;0;"";"";"";"";"";"";"";-113.5865;50.68958;0;"";"canola";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2016;7;9;190.3333
"21736-3-WBV0-2016";21736;"S. Johnson";"Blue Vane";3;"W0";2016;7;5;11;40;2016;7;13;10;0;"";"";"";"";"";"";"";-113.5865;50.68958;0;"";"canola";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;195;191;2016;7;9;190.3333
"22471-3-WCC0-2016";22471;"S. Johnson";"Coloured Cups";3;"W0";2016;7;4;12;47;2016;7;13;13;10;"";"";"";"";"";"";"";-113.7696;50.75628;0;"";"canola";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;195;191;2016;7;9;216.3833
"22471-3-WBV0-2016";22471;"S. Johnson";"Blue Vane";3;"W0";2016;7;4;12;47;2016;7;13;13;10;"";"";"";"";"";"";"";-113.7696;50.75628;0;"";"canola";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;195;191;2016;7;9;216.3833
"22345-3-WCC75-2016";22345;"S. Johnson";"Coloured Cups";3;"W75";2016;7;6;11;53;2016;7;14;9;8;"";"";"";"";"";"";"replaced glycol, diluted";-113.427;50.62893;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.25
"22345-3-WBV75-2016";22345;"S. Johnson";"Blue Vane";3;"W75";2016;7;6;11;53;2016;7;14;9;8;"";"";"";"";"";"";"replaced glycol, diluted";-113.427;50.62893;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.25
"22345-3-WCC25-2016";22345;"S. Johnson";"Coloured Cups";3;"W25";2016;7;6;11;50;2016;7;14;9;4;"";"";"";"";"";"";"replaced glycol, diluted";-113.4277;50.62892;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.2333
"22345-3-WBV25-2016";22345;"S. Johnson";"Blue Vane";3;"W25";2016;7;6;11;50;2016;7;14;9;4;"";"";"";"";"";"";"replaced glycol, diluted";-113.4277;50.62892;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.2333
"22345-3-WCC0-2016";22345;"S. Johnson";"Coloured Cups";3;"W0";2016;7;6;11;46;2016;7;14;8;59;"";"";"";"";"";"";"replaced glycol, diluted";-113.4281;50.62893;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.2166
"22345-3-WBV0-2016";22345;"S. Johnson";"Blue Vane";3;"W0";2016;7;6;11;46;2016;7;14;8;59;"";"";"";"";"";"";"replaced glycol, diluted";-113.4281;50.62893;0;"";"canola";"";"75";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";188;196;192;2016;7;10;189.2166
"21120-3-WCC75-2016";21120;"S. Johnson";"Coloured Cups";3;"W75";2016;7;5;13;34;2016;7;15;10;10;"";"";"";"";"";"";"replaced glycol, diluted";-113.5561;50.72707;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.6
"21120-3-WBV75-2016";21120;"S. Johnson";"Blue Vane";3;"W75";2016;7;5;13;34;2016;7;15;10;10;"";"";"";"";"";"";"replaced glycol, diluted";-113.5561;50.72707;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.6
"21057-3-WCC75-2016";21057;"S. Johnson";"Coloured Cups";3;"W75";2016;7;5;11;6;2016;7;15;8;26;"";"";"";"";"";"";"replaced glycol, diluted";-113.441;50.71659;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.3333
"21057-3-WBV75-2016";21057;"S. Johnson";"Blue Vane";3;"W75";2016;7;5;11;6;2016;7;15;8;26;"";"";"";"";"";"";"replaced glycol, diluted";-113.441;50.71659;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.3333
"21071-3-WCC75-2016";21071;"S. Johnson";"Coloured Cups";3;"W75";2016;7;5;13;3;2016;7;15;12;17;"";"";"";"";"";"";"replaced glycol, diluted";-113.5208;50.72011;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.2333
"21071-3-WBV75-2016";21071;"S. Johnson";"Blue Vane";3;"W75";2016;7;5;13;3;2016;7;15;12;17;"";"";"";"";"";"";"replaced glycol, diluted";-113.5208;50.72011;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.2333
"21547-3-WCC75-2016";21547;"S. Johnson";"Coloured Cups";3;"W75";2016;7;7;11;28;2016;7;15;10;27;"";"";"";"";"";"";"replaced glycol, diluted";-113.5634;50.77709;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9833
"21547-3-WBV75-2016";21547;"S. Johnson";"Blue Vane";3;"W75";2016;7;7;11;28;2016;7;15;10;27;"";"";"";"";"";"";"replaced glycol, diluted";-113.5634;50.77709;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9833
"21120-3-WCC25-2016";21120;"S. Johnson";"Coloured Cups";3;"W25";2016;7;5;13;29;2016;7;15;10;7;"";"";"";"";"";"";"replaced glycol, diluted";-113.5567;50.72727;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.6333
"21120-3-WBV25-2016";21120;"S. Johnson";"Blue Vane";3;"W25";2016;7;5;13;29;2016;7;15;10;7;"";"";"";"";"";"";"replaced glycol, diluted";-113.5567;50.72727;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.6333
"21057-3-WCC25-2016";21057;"S. Johnson";"Coloured Cups";3;"W25";2016;7;5;11;1;2016;7;15;8;23;"";"";"";"";"";"";"replaced glycol, diluted";-113.4412;50.71618;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.3666
"21057-3-WBV25-2016";21057;"S. Johnson";"Blue Vane";3;"W25";2016;7;5;11;1;2016;7;15;8;23;"";"";"";"";"";"";"replaced glycol, diluted";-113.4412;50.71618;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.3666
"21071-3-WCC25-2016";21071;"S. Johnson";"Coloured Cups";3;"W25";2016;7;5;12;58;2016;7;15;12;14;"";"";"";"";"";"";"replaced glycol, diluted";-113.5202;50.71989;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.2666
"21071-3-WBV25-2016";21071;"S. Johnson";"Blue Vane";3;"W25";2016;7;5;12;58;2016;7;15;12;14;"";"";"";"";"";"";"replaced glycol, diluted";-113.5202;50.71989;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.2666
"21547-3-WCC25-2016";21547;"S. Johnson";"Coloured Cups";3;"W25";2016;7;7;11;35;2016;7;15;10;31;"";"";"";"";"";"";"replaced glycol, diluted";-113.5636;50.77751;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9333
"21547-3-WBV25-2016";21547;"S. Johnson";"Blue Vane";3;"W25";2016;7;7;11;35;2016;7;15;10;31;"";"";"";"";"";"";"replaced glycol, diluted";-113.5636;50.77751;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9333
"21603-1-WYC75-2016";21603;"S. Johnson";"Yellow Cup";1;"W75";2016;6;16;8;38;2016;6;22;12;1;"";"";"";"";"";"";"";-113.5385;50.7669;0;"";"canola";"";"5";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";168;174;171;2016;6;19;147.3833
"21554-4-WCC0-2016";21554;"S. Johnson";"Coloured Cups";4;"W0";2016;7;15;11;27;2016;7;25;11;59;"";"";"";"";"";"";"bv and yellow cup knocked down, all refilled, replaced stacke";-113.5323;50.73703;0;"";"canola";"";"";"";0;0;"2018-10-26 11:26:28";"2019-06-14 15:02:54";197;207;202;2016;7;20;240.5333
"21603-0-WWC0-2016";21603;"S. Johnson";"White Cup";0;"W0";0;0;0;0;0;2016;6;16;8;30;"";"";"";"";"";"";"";-113.5378;50.76639;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-1-WWC75-2016";21603;"S. Johnson";"White Cup";1;"W75";2016;6;16;8;38;2016;6;22;12;1;"";"";"";"";"";"";"";-113.5385;50.7669;0;"";"canola";"";"5";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";168;174;171;2016;6;19;147.3833
"21603-0-WBC0-2016";21603;"S. Johnson";"Blue Cup";0;"W0";0;0;0;0;0;2016;6;16;8;30;"";"";"";"";"";"";"";-113.5378;50.76639;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WBV0-2016";21603;"S. Johnson";"Blue Vane";0;"W0";0;0;0;0;0;2016;6;16;8;30;"";"";"";"";"";"";"";-113.5378;50.76639;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WBV25-2016";21603;"S. Johnson";"Blue Vane";0;"W25";0;0;0;0;0;2016;6;16;8;34;"";"";"";"";"";"";"";-113.538;50.76655;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WBC25-2016";21603;"S. Johnson";"Blue Cup";0;"W25";0;0;0;0;0;2016;6;16;8;34;"";"";"";"";"";"";"";-113.538;50.76655;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WYC25-2016";21603;"S. Johnson";"Yellow Cup";0;"W25";0;0;0;0;0;2016;6;16;8;34;"";"";"";"";"";"";"";-113.538;50.76655;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WWC75-2016";21603;"S. Johnson";"White Cup";0;"W75";0;0;0;0;0;2016;6;16;8;38;"";"";"";"";"";"";"";-113.5385;50.7669;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21603-0-WBC75-2016";21603;"S. Johnson";"Blue Cup";0;"W75";0;0;0;0;0;2016;6;16;8;38;"";"";"";"";"";"";"";-113.5385;50.7669;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21120-3-WCC0-2016";21120;"S. Johnson";"Coloured Cups";3;"W0";2016;7;5;13;25;2016;7;15;10;4;"";"";"";"";"";"";"replaced glycol, diluted";-113.5571;50.72736;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.65
"21120-3-WBV0-2016";21120;"S. Johnson";"Blue Vane";3;"W0";2016;7;5;13;25;2016;7;15;10;4;"";"";"";"";"";"";"replaced glycol, diluted";-113.5571;50.72736;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;236.65
"21057-3-WCC0-2016";21057;"S. Johnson";"Coloured Cups";3;"W0";2016;7;5;10;55;2016;7;15;8;19;"";"";"";"";"";"";"replaced glycol, diluted";-113.4413;50.71596;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.4
"21057-3-WBV0-2016";21057;"S. Johnson";"Blue Vane";3;"W0";2016;7;5;10;55;2016;7;15;8;19;"";"";"";"";"";"";"replaced glycol, diluted";-113.4413;50.71596;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;237.4
"21071-3-WCC0-2016";21071;"S. Johnson";"Coloured Cups";3;"W0";2016;7;5;12;53;2016;7;15;12;11;"";"";"";"";"";"";"replaced glycol, diluted";-113.5199;50.71979;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.3
"21071-3-WBV0-2016";21071;"S. Johnson";"Blue Vane";3;"W0";2016;7;5;12;53;2016;7;15;12;11;"";"";"";"";"";"";"replaced glycol, diluted";-113.5199;50.71979;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";187;197;192;2016;7;10;239.3
"21603-0-WBV75-2016";21603;"S. Johnson";"Blue Vane";0;"W75";0;0;0;0;0;2016;6;16;8;38;"";"";"";"";"";"";"";-113.5385;50.7669;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"22492-3-WCC25-2016";22492;"S. Johnson";"Coloured Cups";3;"W25";2016;6;22;11;28;2016;7;15;11;49;"";"";"";"";"";"";"wc moldy replaced, replaced glycol, diluted";-113.5375;50.74614;0;"";"canola";"";"85";"";0;0;"2018-10-26 11:26:28";"2019-06-14 15:02:54";174;197;186;2016;7;4;552.35
"21554-0-WYC75-2016";21554;"S. Johnson";"Yellow Cup";0;"W75";0;0;0;0;0;2016;6;16;9;25;"";"";"";"";"";"";"";-113.5327;50.73765;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21554-0-WWC75-2016";21554;"S. Johnson";"White Cup";0;"W75";0;0;0;0;0;2016;6;16;9;25;"";"";"";"";"";"";"";-113.5327;50.73765;0;"";"canola";"";"0";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";0;168;0;0;0;0;0.0
"21547-3-WCC0-2016";21547;"S. Johnson";"Coloured Cups";3;"W0";2016;7;7;11;38;2016;7;15;10;34;"";"";"";"";"";"";"replaced glycol, diluted";-113.5637;50.77773;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9333
"21547-3-WBV0-2016";21547;"S. Johnson";"Blue Vane";3;"W0";2016;7;7;11;38;2016;7;15;10;34;"";"";"";"";"";"";"replaced glycol, diluted";-113.5637;50.77773;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";189;197;193;2016;7;11;190.9333
"22513-3-WCC75-2016";22513;"S. Johnson";"Coloured Cups";3;"W75";2016;7;4;13;41;2016;7;18;11;43;"";"";"";"";"";"";"replaced glycol, diluted";-113.8112;50.76347;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.0333
"22513-3-WBV75-2016";22513;"S. Johnson";"Blue Vane";3;"W75";2016;7;4;13;41;2016;7;18;11;43;"";"";"";"";"";"";"replaced glycol, diluted";-113.8112;50.76347;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.0333
"22576-3-WCC75-2016";22576;"S. Johnson";"Coloured Cups";3;"W75";2016;6;29;12;26;2016;7;18;9;52;"";"";"";"";"";"";"replaced glycol, diluted";-113.8147;50.58573;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.4333
"22576-3-WBV75-2016";22576;"S. Johnson";"Blue Vane";3;"W75";2016;6;29;12;26;2016;7;18;9;52;"";"";"";"";"";"";"replaced glycol, diluted";-113.8147;50.58573;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.4333
"22128-3-WCC75-2016";22128;"S. Johnson";"Coloured Cups";3;"W75";2016;6;29;12;59;2016;7;18;10;12;"";"";"";"";"";"";"hailed";-113.7759;50.57058;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.2166
"22128-3-WBV75-2016";22128;"S. Johnson";"Blue Vane";3;"W75";2016;6;29;12;59;2016;7;18;10;12;"";"";"";"";"";"";"hailed";-113.7759;50.57058;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.2166
"22513-3-WCC25-2016";22513;"S. Johnson";"Coloured Cups";3;"W25";2016;7;4;13;35;2016;7;18;11;40;"";"";"";"";"";"";"replaced glycol, diluted";-113.8106;50.76318;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.0833
"22513-3-WBV25-2016";22513;"S. Johnson";"Blue Vane";3;"W25";2016;7;4;13;35;2016;7;18;11;40;"";"";"";"";"";"";"replaced glycol, diluted";-113.8106;50.76318;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.0833
"22576-3-WCC25-2016";22576;"S. Johnson";"Coloured Cups";3;"W25";2016;6;29;12;19;2016;7;18;9;49;"";"";"";"";"";"";"replaced glycol, diluted";-113.8152;50.58601;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.5
"22576-3-WBV25-2016";22576;"S. Johnson";"Blue Vane";3;"W25";2016;6;29;12;19;2016;7;18;9;49;"";"";"";"";"";"";"replaced glycol, diluted";-113.8152;50.58601;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.5
"22128-3-WCC25-2016";22128;"S. Johnson";"Coloured Cups";3;"W25";2016;6;29;12;53;2016;7;18;10;9;"";"";"";"";"";"";"hailed";-113.7752;50.57065;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.2666
"22128-3-WBV25-2016";22128;"S. Johnson";"Blue Vane";3;"W25";2016;6;29;12;53;2016;7;18;10;9;"";"";"";"";"";"";"hailed";-113.7752;50.57065;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.2666
"22513-3-WCC0-2016";22513;"S. Johnson";"Coloured Cups";3;"W0";2016;7;4;13;29;2016;7;18;11;36;"";"";"";"";"";"";"replaced glycol, diluted";-113.8104;50.76303;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.1166
"22513-3-WBV0-2016";22513;"S. Johnson";"Blue Vane";3;"W0";2016;7;4;13;29;2016;7;18;11;36;"";"";"";"";"";"";"replaced glycol, diluted";-113.8104;50.76303;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";186;200;193;2016;7;11;334.1166
"22576-3-WCC0-2016";22576;"S. Johnson";"Coloured Cups";3;"W0";2016;6;29;12;14;2016;7;18;9;46;"";"";"";"";"";"";"replaced glycol, diluted";-113.8155;50.58615;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.5333
"22576-3-WBV0-2016";22576;"S. Johnson";"Blue Vane";3;"W0";2016;6;29;12;14;2016;7;18;9;46;"";"";"";"";"";"";"replaced glycol, diluted";-113.8155;50.58615;0;"";"wheat";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.5333
"22128-3-WCC0-2016";22128;"S. Johnson";"Coloured Cups";3;"W0";2016;6;29;12;48;2016;7;18;10;6;"";"";"";"";"";"";"hailed";-113.7747;50.57074;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.3
"22128-3-WBV0-2016";22128;"S. Johnson";"Blue Vane";3;"W0";2016;6;29;12;48;2016;7;18;10;6;"";"";"";"";"";"";"hailed";-113.7747;50.57074;0;"";"canola";"";"100";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";181;200;191;2016;7;9;453.3
"22583-4-WCC75-2016";22583;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;12;22;2016;7;19;12;3;"";"";"";"";"";"";"replaced glycol, diluted";-113.0599;50.57341;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6833
"22583-4-WBV75-2016";22583;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;12;22;2016;7;19;12;3;"";"";"";"";"";"";"replaced glycol, diluted";-113.0599;50.57341;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6833
"21470-4-WCC75-2016";21470;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;11;55;2016;7;19;11;35;"";"";"";"";"";"";"replaced glycol, diluted";-113.0862;50.58517;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6666
"21470-4-WBV75-2016";21470;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;11;55;2016;7;19;11;35;"";"";"";"";"";"";"replaced glycol, diluted";-113.0862;50.58517;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6666
"21260-4-WCC75-2016";21260;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;10;34;2016;7;19;10;13;"";"";"";"";"";"";"bv blown over, cups cowed";-113.1004;50.63123;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.65
"21260-4-WBV75-2016";21260;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;10;34;2016;7;19;10;13;"";"";"";"";"";"";"bv blown over, cups cowed";-113.1004;50.63123;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.65
"21834-4-WCC75-2016";21834;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;11;10;2016;7;19;10;48;"";"";"";"";"";"";"bv blown over, cups cowed";-113.1111;50.63298;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6333
"21834-4-WBV75-2016";21834;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;11;10;2016;7;19;10;48;"";"";"";"";"";"";"bv blown over, cups cowed";-113.1111;50.63298;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6333
"21715-4-WCC75-2016";21715;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;10;0;2016;7;19;9;46;"";"";"";"";"";"";"all samples cowed";-113.1182;50.63311;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.7666
"21715-4-WBV75-2016";21715;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;10;0;2016;7;19;9;46;"";"";"";"";"";"";"all samples cowed";-113.1182;50.63311;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.7666
"22590-4-WCC75-2016";22590;"S. Johnson";"Coloured Cups";4;"W75";2016;7;11;9;3;2016;7;19;8;55;"";"";"";"";"";"";"cows, bv only sample";-113.1039;50.65144;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.8666
"22590-4-WBV75-2016";22590;"S. Johnson";"Blue Vane";4;"W75";2016;7;11;9;3;2016;7;19;8;55;"";"";"";"";"";"";"cows, bv only sample";-113.1039;50.65144;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.8666
"22583-4-WCC25-2016";22583;"S. Johnson";"Coloured Cups";4;"W25";2016;7;11;12;19;2016;7;19;11;58;"";"";"";"";"";"";"replaced glycol, diluted";-113.0606;50.57356;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.65
"22583-4-WBV25-2016";22583;"S. Johnson";"Blue Vane";4;"W25";2016;7;11;12;19;2016;7;19;11;58;"";"";"";"";"";"";"replaced glycol, diluted";-113.0606;50.57356;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.65
"21470-4-WCC25-2016";21470;"S. Johnson";"Coloured Cups";4;"W25";2016;7;11;11;50;2016;7;19;11;31;"";"";"";"";"";"";"replaced glycol, diluted";-113.0859;50.58555;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6833
"21470-4-WBV25-2016";21470;"S. Johnson";"Blue Vane";4;"W25";2016;7;11;11;50;2016;7;19;11;31;"";"";"";"";"";"";"replaced glycol, diluted";-113.0859;50.58555;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.6833
"21260-4-WCC25-2016";21260;"S. Johnson";"Coloured Cups";4;"W25";2016;7;11;10;29;2016;7;19;10;8;"";"";"";"";"";"";"bv blown over, cups cowed";-113.0997;50.63124;0;"";"native";"";"";"";0;0;"2018-10-26 11:26:28";"2018-10-26 11:26:28";193;201;197;2016;7;15;191.65
